Batter,Venue,total_runs,balls_faced,strike_rate
BB McCullum,Maharashtra Cricket Association Stadium,93,52,178.84615384615387
BB McCullum,Nehru Stadium,100,84,119.04761904761905
BB McCullum,New Wanderers Stadium,26,21,123.80952380952381
BB McCullum,Newlands,1,3,33.33333333333333
BB McCullum,Punjab Cricket Association IS Bindra Stadium,0,2,0.0
BB McCullum,Punjab Cricket Association Stadium,21,24,87.5
BB McCullum,Rajiv Gandhi International Stadium,24,34,70.58823529411765
BB McCullum,Sardar Patel Stadium,12,7,171.42857142857142
BB McCullum,Saurashtra Cricket Association Stadium,273,185,147.56756756756758
BB McCullum,Sawai Mansingh Stadium,2,4,50.0
BB McCullum,Shaheed Veer Narayan Singh International Stadium,11,21,52.38095238095239
BB McCullum,Sharjah Cricket Stadium,40,33,121.21212121212122
BB McCullum,Sheikh Zayed Stadium,76,55,138.1818181818182
BB McCullum,St George's Park,20,36,55.55555555555556
BB McCullum,Subrata Roy Sahara Stadium,72,79,91.13924050632912
BB McCullum,SuperSport Park,165,109,151.37614678899084
BB McCullum,Wankhede Stadium,222,159,139.62264150943395
BB Samantray,Barabati Stadium,2,2,100.0
BB Samantray,Feroz Shah Kotla,14,11,127.27272727272727
BB Samantray,M Chinnaswamy Stadium,2,2,100.0
BB Samantray,Maharashtra Cricket Association Stadium,37,37,100.0
BB Samantray,Punjab Cricket Association Stadium,0,1,0.0
BB Samantray,Rajiv Gandhi International Stadium,70,60,116.66666666666667
BB Sran,Arun Jaitley Stadium,0,1,0.0
BB Sran,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,1,100.0
BB Sran,Eden Gardens,5,5,100.0
BB Sran,Holkar Cricket Stadium,1,1,100.0
BB Sran,Rajiv Gandhi International Stadium,3,5,60.0
BCJ Cutting,Arun Jaitley Stadium,39,24,162.5
BCJ Cutting,Eden Gardens,39,19,205.26315789473685
BCJ Cutting,Feroz Shah Kotla,8,8,100.0
BCJ Cutting,M Chinnaswamy Stadium,39,15,260.0
BCJ Cutting,M.Chinnaswamy Stadium,12,6,200.0
BCJ Cutting,Punjab Cricket Association IS Bindra Stadium,18,11,163.63636363636365
BCJ Cutting,Rajiv Gandhi International Stadium,25,15,166.66666666666669
BCJ Cutting,Sardar Patel Stadium,8,6,133.33333333333331
BCJ Cutting,Sawai Mansingh Stadium,13,9,144.44444444444443
BCJ Cutting,Wankhede Stadium,37,28,132.14285714285714
BE Hendricks,Punjab Cricket Association Stadium,1,3,33.33333333333333
BJ Haddin,Eden Gardens,18,11,163.63636363636365
BJ Hodge,Buffalo Park,73,59,123.72881355932203
BJ Hodge,Dr DY Patil Sports Academy,52,45,115.55555555555554
BJ Hodge,Eden Gardens,93,95,97.89473684210527
BJ Hodge,Feroz Shah Kotla,105,66,159.0909090909091
BJ Hodge,Holkar Cricket Stadium,37,23,160.8695652173913
BJ Hodge,Kingsmead,43,56,76.78571428571429
BJ Hodge,M Chinnaswamy Stadium,19,31,61.29032258064516
BJ Hodge,MA Chidambaram Stadium,63,53,118.86792452830188
BJ Hodge,Nehru Stadium,108,80,135.0
BJ Hodge,New Wanderers Stadium,48,44,109.09090909090908
BJ Hodge,Newlands,31,34,91.17647058823529
BJ Hodge,Punjab Cricket Association Stadium,68,43,158.13953488372093
BJ Hodge,Rajiv Gandhi International Stadium,8,7,114.28571428571428
BJ Hodge,Sardar Patel Stadium,76,64,118.75
BJ Hodge,Sawai Mansingh Stadium,304,219,138.81278538812785
BJ Hodge,Sheikh Zayed Stadium,1,8,12.5
BJ Hodge,St George's Park,94,65,144.6153846153846
BJ Hodge,Subrata Roy Sahara Stadium,22,19,115.78947368421053
BJ Hodge,SuperSport Park,71,44,161.36363636363635
BJ Hodge,Wankhede Stadium,79,50,158.0
BJ Rohrer,Feroz Shah Kotla,32,27,118.5185185185185
BJ Rohrer,Himachal Pradesh Cricket Association Stadium,49,29,168.9655172413793
BJ Rohrer,MA Chidambaram Stadium,4,5,80.0
BJ Rohrer,Sawai Mansingh Stadium,64,40,160.0
BJ Rohrer,Shaheed Veer Narayan Singh International Stadium,23,16,143.75
BJ Rohrer,Subrata Roy Sahara Stadium,7,9,77.77777777777779
